Rk,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
162,C,23,14,0,2.7,0.3,0.4,0.667,0.0,0.0,0.0,0.3,0.4,0.667,0.667,0.1,0.2,0.667,0.2,0.4,0.6,0.1,0.0,0.1,0.4,0.4,0.7
151,C,24,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,C,29,41,41,32.4,5.7,7.9,0.7140000000000001,0.0,0.0,0.0,5.7,7.9,0.716,0.7140000000000001,4.7,6.9,0.688,3.6,11.4,15.0,1.1,0.8,2.3,1.9,2.7,16.0
437,C,26,38,37,28.9,5.7,9.5,0.594,0.0,0.0,0.0,5.7,9.5,0.594,0.594,1.1,2.7,0.426,4.1,5.0,9.1,2.7,0.7,1.6,1.6,3.0,12.4
159,C,24,41,8,12.4,1.7,3.2,0.515,0.0,0.1,0.16699999999999998,1.6,3.1,0.532,0.519,1.3,1.7,0.757,1.2,2.8,3.9,1.0,0.3,0.6,1.0,1.3,4.6
463,C,24,33,5,8.9,1.5,2.2,0.685,0.0,0.0,0.0,1.5,2.2,0.685,0.685,0.7,0.9,0.828,0.8,1.3,2.1,0.3,0.3,0.6,0.5,1.3,3.8
446,C,23,3,0,10.3,1.7,3.7,0.455,0.0,0.7,0.0,1.7,3.0,0.556,0.455,0.7,0.7,1.0,1.3,1.7,3.0,0.0,0.3,0.3,0.3,1.3,4.0
246,C,36,36,10,15.0,1.9,3.1,0.622,0.2,0.3,0.667,1.8,2.8,0.618,0.649,1.3,2.1,0.635,1.9,3.6,5.5,0.6,0.8,0.6,0.9,2.0,5.3
307,C,26,1,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
421,C,22,3,0,9.0,1.0,2.0,0.5,0.0,0.3,0.0,1.0,1.7,0.6,0.5,1.0,1.7,0.6,0.3,1.3,1.7,0.0,0.0,0.7,0.0,0.3,3.0
130,C,23,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
223,C,21,33,0,14.0,2.5,4.2,0.583,0.2,0.5,0.33299999999999996,2.3,3.8,0.613,0.601,1.8,2.4,0.7440000000000001,1.3,2.1,3.4,0.4,0.3,0.7,0.6,1.9,6.8
545,C,31,37,37,33.2,6.9,15.7,0.43799999999999994,1.6,5.0,0.326,5.2,10.7,0.49,0.49,1.0,1.4,0.731,1.9,9.2,11.1,3.5,1.1,1.2,1.5,2.2,16.4
249,C,23,4,0,5.0,0.0,0.8,0.0,0.0,0.5,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.8,1.0,0.3,0.3,0.3,0.3,0.3,0.0
469,C,21,41,33,23.0,2.7,6.5,0.408,1.1,3.3,0.336,1.5,3.2,0.485,0.494,0.7,1.0,0.7070000000000001,1.6,4.2,5.9,1.0,0.6,0.3,0.8,1.6,7.1
392,C,30,38,0,13.5,2.6,5.6,0.465,1.6,3.7,0.439,1.0,1.9,0.514,0.608,1.2,1.3,0.88,0.4,2.5,2.9,0.5,0.4,0.6,0.3,1.3,8.0
377,C,31,2,0,9.0,2.0,4.0,0.5,0.0,0.0,0.0,2.0,4.0,0.5,0.5,0.0,0.0,0.0,3.5,1.5,5.0,0.5,0.5,0.5,1.0,1.0,4.0
254,C,32,28,8,15.4,2.5,5.5,0.45799999999999996,0.8,2.0,0.4,1.7,3.5,0.49,0.529,0.5,0.8,0.667,1.2,2.9,4.1,1.1,0.2,0.7,1.1,1.7,6.3
